Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , Less than 9th grade Estimate , Less than 9th grade Margin of error (MOE) , Less than 9th grade Percent of total , Less than 9th grade Percent of total margin of error (MOE) ," 9th to 12 Grade, no diploma Estimate "," 9th to 12 Grade, no diploma Margin of error (MOE) "," 9th to 12 Grade, no diploma Percent of total "," 9th to 12 Grade, no diploma Percent of total margin of error (MOE) ", High school graduate Estimate , High school graduate Margin of error (MOE) , High school graduate Percent of total , High school graduate Percent of total margin of error (MOE) ," Some college, no degree Estimate "," Some college, no degree Margin of error (MOE) "," Some college, no degree Percent of total "," Some college, no degree Percent of total margin of error (MOE) ", Associate's degree Estimate , Associate's degree Margin of error (MOE) , Associate's degree Percent of total , Associate's degree Percent of total margin of error (MOE) , Bachelor's degree Estimate , Bachelor's degree Margin of error (MOE) , Bachelor's degree Percent of total , Bachelor's degree Percent of total margin of error (MOE) , Graduate degree Estimate , Graduate degree Margin of error (MOE) , Graduate degree Percent of total , Graduate degree Percent of total margin of error (MOE) , High school or more Estimate , High school or more Margin of error (MOE) , High school or more Percent of total , High school or more Percent of total margin of error (MOE) , Bachelor's degree or more Estimate , Bachelor's degree or more Margin of error (MOE) , Bachelor's degree or more Percent of total , Bachelor's degree or more Percent of total margin of error (MOE) ,
97,FL,Florida,9," 644,898 "," 15,477 "," 22,249 "," 3,919 ", 3.5 , 0.6 ," 64,916 "," 7,251 ", 10.1 , 1.1 ," 198,755 "," 10,421 ", 30.8 , 1.5 ," 142,215 "," 8,550 ", 22.1 , 1.2 ," 70,018 "," 6,432 ", 10.9 , 1.0 ," 94,758 "," 5,851 ", 14.7 , 0.9 ," 51,987 "," 5,098 ", 8.1 , 0.8 ," 557,733 "," 14,884 ", 86.5 , 1.3 ," 146,745 "," 7,351 ", 22.8 , 1.0 ,
98,FL,Florida,10," 546,157 "," 12,769 "," 16,662 "," 2,266 ", 3.1 , 0.4 ," 43,165 "," 4,865 ", 7.9 , 0.9 ," 146,227 "," 8,979 ", 26.8 , 1.4 ," 116,142 "," 6,408 ", 21.3 , 1.0 ," 52,596 "," 4,737 ", 9.6 , 0.9 ," 118,889 "," 7,228 ", 21.8 , 1.3 ," 52,476 "," 4,542 ", 9.6 , 0.8 ," 486,330 "," 12,294 ", 89.0 , 0.9 ," 171,365 "," 8,530 ", 31.4 , 1.5 ,
99,FL,Florida,11," 652,135 "," 10,786 "," 19,364 "," 2,912 ", 3.0 , 0.4 ," 57,118 "," 4,858 ", 8.8 , 0.7 ," 232,153 "," 8,978 ", 35.6 , 1.2 ," 149,365 "," 6,893 ", 22.9 , 1.0 ," 62,744 "," 5,169 ", 9.6 , 0.8 ," 83,135 "," 6,414 ", 12.7 , 1.0 ," 48,256 "," 4,247 ", 7.4 , 0.6 ," 575,653 "," 10,793 ", 88.3 , 0.8 ," 131,391 "," 7,665 ", 20.1 , 1.1 ,
100,FL,Florida,12," 605,983 "," 7,435 "," 12,341 "," 2,221 ", 2.0 , 0.4 ," 39,989 "," 4,054 ", 6.6 , 0.7 ," 191,626 "," 6,880 ", 31.6 , 1.1 ," 133,079 "," 6,226 ", 22.0 , 0.9 ," 65,873 "," 4,062 ", 10.9 , 0.7 ," 107,550 "," 6,181 ", 17.7 , 1.0 ," 55,525 "," 3,806 ", 9.2 , 0.6 ," 553,653 "," 7,795 ", 91.4 , 0.8 ," 163,075 "," 7,471 ", 26.9 , 1.2 ,
101,FL,Florida,13," 584,889 "," 8,338 "," 12,754 "," 2,466 ", 2.2 , 0.4 ," 37,677 "," 3,346 ", 6.4 , 0.6 ," 175,088 "," 7,681 ", 29.9 , 1.2 ," 131,092 "," 5,346 ", 22.4 , 0.9 ," 55,287 "," 4,025 ", 9.5 , 0.7 ," 114,308 "," 5,689 ", 19.5 , 0.9 ," 58,683 "," 3,589 ", 10.0 , 0.6 ," 534,458 "," 8,445 ", 91.4 , 0.7 ," 172,991 "," 6,970 ", 29.6 , 1.1 ,
102,FL,Florida,14," 534,225 "," 9,792 "," 15,219 "," 2,252 ", 2.8 , 0.4 ," 34,575 "," 3,728 ", 6.5 , 0.7 ," 138,443 "," 7,048 ", 25.9 , 1.2 ," 106,706 "," 6,194 ", 20.0 , 1.1 ," 47,826 "," 3,922 ", 9.0 , 0.7 ," 123,207 "," 5,632 ", 23.1 , 1.0 ," 68,249 "," 4,649 ", 12.8 , 0.8 ," 484,431 "," 10,190 ", 90.7 , 0.9 ," 191,456 "," 6,686 ", 35.8 , 1.1 ,
103,FL,Florida,15," 578,715 "," 14,070 "," 16,064 "," 2,498 ", 2.8 , 0.4 ," 46,447 "," 4,552 ", 8.0 , 0.7 ," 195,588 "," 10,683 ", 33.8 , 1.5 ," 126,432 "," 6,510 ", 21.8 , 1.0 ," 56,395 "," 4,062 ", 9.7 , 0.7 ," 96,290 "," 5,364 ", 16.6 , 0.9 ," 41,499 "," 4,116 ", 7.2 , 0.7 ," 516,204 "," 13,036 ", 89.2 , 0.8 ," 137,789 "," 6,832 ", 23.8 , 1.2 ,
104,FL,Florida,16," 638,769 "," 8,875 "," 14,980 "," 2,726 ", 2.3 , 0.4 ," 36,259 "," 3,984 ", 5.7 , 0.6 ," 187,530 "," 8,244 ", 29.4 , 1.2 ," 139,674 "," 7,141 ", 21.9 , 1.0 ," 61,955 "," 4,687 ", 9.7 , 0.7 ," 116,874 "," 5,396 ", 18.3 , 0.8 ," 81,497 "," 4,470 ", 12.8 , 0.7 ," 587,530 "," 9,568 ", 92.0 , 0.8 ," 198,371 "," 6,692 ", 31.1 , 1.0 ,
105,FL,Florida,17," 615,104 "," 10,351 "," 15,762 "," 2,262 ", 2.6 , 0.4 ," 53,658 "," 4,477 ", 8.7 , 0.7 ," 226,865 "," 8,695 ", 36.9 , 1.2 ," 132,619 "," 6,703 ", 21.6 , 1.0 ," 55,929 "," 4,438 ", 9.1 , 0.7 ," 82,747 "," 4,817 ", 13.5 , 0.8 ," 47,524 "," 3,835 ", 7.7 , 0.6 ," 545,684 "," 10,394 ", 88.7 , 0.8 ," 130,271 "," 5,595 ", 21.2 , 0.9 ,
106,FL,Florida,18," 599,873 "," 10,324 "," 15,985 "," 2,888 ", 2.7 , 0.5 ," 39,311 "," 6,009 ", 6.6 , 1.0 ," 152,802 "," 7,789 ", 25.5 , 1.2 ," 133,636 "," 7,596 ", 22.3 , 1.2 ," 62,729 "," 5,095 ", 10.5 , 0.8 ," 121,878 "," 5,696 ", 20.3 , 0.9 ," 73,532 "," 4,762 ", 12.3 , 0.8 ," 544,577 "," 9,729 ", 90.8 , 1.0 ," 195,410 "," 6,414 ", 32.6 , 1.1 ,
107,FL,Florida,19," 631,233 "," 11,072 "," 15,013 "," 2,932 ", 2.4 , 0.5 ," 31,918 "," 3,723 ", 5.1 , 0.6 ," 179,026 "," 8,199 ", 28.4 , 1.2 ," 132,446 "," 5,656 ", 21.0 , 0.8 ," 57,669 "," 4,484 ", 9.1 , 0.7 ," 133,020 "," 7,024 ", 21.1 , 1.0 ," 82,141 "," 5,071 ", 13.0 , 0.8 ," 584,302 "," 11,839 ", 92.6 , 0.7 ," 215,161 "," 8,314 ", 34.1 , 1.1 ,
108,FL,Florida,20," 507,613 "," 13,423 "," 22,815 "," 3,513 ", 4.5 , 0.7 ," 51,653 "," 5,014 ", 10.2 , 1.0 ," 164,095 "," 9,419 ", 32.3 , 1.5 ," 121,596 "," 7,691 ", 24.0 , 1.3 ," 49,310 "," 4,121 ", 9.7 , 0.8 ," 65,181 "," 4,218 ", 12.8 , 0.8 ," 32,963 "," 3,452 ", 6.5 , 0.7 ," 433,145 "," 12,494 ", 85.3 , 1.0 ," 98,144 "," 5,680 ", 19.3 , 1.1 ,
109,FL,Florida,21," 546,101 "," 11,927 "," 15,920 "," 2,612 ", 2.9 , 0.5 ," 29,421 "," 3,718 ", 5.4 , 0.7 ," 131,770 "," 6,969 ", 24.1 , 1.2 ," 122,330 "," 6,876 ", 22.4 , 1.1 ," 49,903 "," 4,516 ", 9.1 , 0.8 ," 123,034 "," 6,579 ", 22.5 , 1.1 ," 73,723 "," 5,037 ", 13.5 , 0.9 ," 500,760 "," 12,183 ", 91.7 , 0.8 ," 196,757 "," 7,101 ", 36.0 , 1.1 ,
110,FL,Florida,22," 534,846 "," 11,346 "," 11,245 "," 2,030 ", 2.1 , 0.4 ," 25,420 "," 3,409 ", 4.8 , 0.6 ," 126,205 "," 7,215 ", 23.6 , 1.2 ," 108,666 "," 6,208 ", 20.3 , 1.1 ," 47,172 "," 4,381 ", 8.8 , 0.8 ," 132,374 "," 6,715 ", 24.7 , 1.2 ," 83,764 "," 5,402 ", 15.7 , 1.0 ," 498,181 "," 10,854 ", 93.1 , 0.7 ," 216,138 "," 7,796 ", 40.4 , 1.3 ,
111,FL,Florida,23," 510,212 "," 9,952 "," 13,523 "," 2,573 ", 2.7 , 0.5 ," 25,571 "," 3,550 ", 5.0 , 0.7 ," 115,797 "," 6,508 ", 22.7 , 1.2 ," 111,399 "," 6,338 ", 21.8 , 1.1 ," 54,768 "," 5,129 ", 10.7 , 1.0 ," 113,290 "," 5,951 ", 22.2 , 1.1 ," 75,864 "," 5,601 ", 14.9 , 1.1 ," 471,118 "," 10,417 ", 92.3 , 0.8 ," 189,154 "," 8,270 ", 37.1 , 1.6 ,
112,FL,Florida,24," 477,697 "," 12,311 "," 33,910 "," 3,464 ", 7.1 , 0.7 ," 47,123 "," 4,961 ", 9.9 , 1.0 ," 149,787 "," 7,080 ", 31.4 , 1.3 ," 97,159 "," 7,074 ", 20.3 , 1.4 ," 48,600 "," 4,834 ", 10.2 , 1.0 ," 67,893 "," 5,382 ", 14.2 , 1.1 ," 33,225 "," 3,461 ", 7.0 , 0.7 ," 396,664 "," 10,655 ", 83.0 , 1.1 ," 101,118 "," 5,698 ", 21.2 , 1.1 ,
113,FL,Florida,25," 453,055 "," 14,226 "," 37,112 "," 3,606 ", 8.2 , 0.8 ," 44,368 "," 4,670 ", 9.8 , 1.0 ," 123,628 "," 8,513 ", 27.3 , 1.5 ," 81,421 "," 5,714 ", 18.0 , 1.1 ," 47,705 "," 5,508 ", 10.5 , 1.1 ," 75,738 "," 4,749 ", 16.7 , 1.0 ," 43,083 "," 4,155 ", 9.5 , 0.9 ," 371,575 "," 13,940 ", 82.0 , 1.2 ," 118,821 "," 6,439 ", 26.2 , 1.4 ,
114,FL,Florida,26," 476,033 "," 12,380 "," 26,938 "," 2,491 ", 5.7 , 0.5 ," 38,441 "," 3,834 ", 8.1 , 0.8 ," 122,547 "," 6,915 ", 25.7 , 1.3 ," 103,109 "," 7,016 ", 21.7 , 1.4 ," 53,290 "," 5,665 ", 11.2 , 1.1 ," 91,031 "," 5,894 ", 19.1 , 1.2 ," 40,677 "," 3,397 ", 8.5 , 0.7 ," 410,654 "," 11,700 ", 86.3 , 0.9 ," 131,708 "," 6,427 ", 27.7 , 1.2 ,
115,FL,Florida,27," 464,604 "," 13,439 "," 26,237 "," 3,286 ", 5.6 , 0.7 ," 19,467 "," 3,365 ", 4.2 , 0.7 ," 94,714 "," 6,845 ", 20.4 , 1.3 ," 79,566 "," 5,664 ", 17.1 , 1.1 ," 42,066 "," 4,721 ", 9.1 , 1.0 ," 115,805 "," 5,895 ", 24.9 , 1.1 ," 86,749 "," 5,725 ", 18.7 , 1.2 ," 418,900 "," 12,065 ", 90.2 , 0.9 ," 202,554 "," 8,212 ", 43.6 , 1.5 ,
116,GA,Georgia,1," 550,713 "," 4,548 "," 13,076 "," 2,167 ", 2.4 , 0.4 ," 51,187 "," 4,596 ", 9.3 , 0.8 ," 178,303 "," 7,137 ", 32.4 , 1.3 ," 135,737 "," 6,494 ", 24.6 , 1.1 ," 43,746 "," 3,691 ", 7.9 , 0.7 ," 78,779 "," 4,564 ", 14.3 , 0.8 ," 49,885 "," 3,589 ", 9.1 , 0.7 ," 486,450 "," 6,645 ", 88.3 , 0.9 ," 128,664 "," 5,642 ", 23.4 , 1.0 ,
117,GA,Georgia,2," 498,322 "," 5,387 "," 20,248 "," 2,610 ", 4.1 , 0.5 ," 66,390 "," 4,523 ", 13.3 , 0.9 ," 169,049 "," 5,958 ", 33.9 , 1.1 ," 124,627 "," 6,414 ", 25.0 , 1.3 ," 39,880 "," 4,025 ", 8.0 , 0.8 ," 47,500 "," 3,269 ", 9.5 , 0.7 ," 30,628 "," 2,495 ", 6.1 , 0.5 ," 411,684 "," 6,961 ", 82.6 , 1.0 ," 78,128 "," 3,717 ", 15.7 , 0.7 ,
118,GA,Georgia,3," 548,941 "," 6,659 "," 12,870 "," 1,982 ", 2.3 , 0.4 ," 53,250 "," 4,604 ", 9.7 , 0.8 ," 171,215 "," 6,849 ", 31.2 , 1.2 ," 134,661 "," 6,180 ", 24.5 , 1.1 ," 41,191 "," 4,062 ", 7.5 , 0.7 ," 88,304 "," 5,143 ", 16.1 , 0.9 ," 47,450 "," 3,614 ", 8.6 , 0.7 ," 482,821 "," 8,103 ", 88.0 , 0.9 ," 135,754 "," 6,066 ", 24.7 , 1.1 ,
119,GA,Georgia,4," 527,938 "," 10,870 "," 12,326 "," 2,468 ", 2.3 , 0.5 ," 34,628 "," 3,409 ", 6.6 , 0.6 ," 144,760 "," 8,531 ", 27.4 , 1.4 ," 119,360 "," 6,537 ", 22.6 , 1.2 ," 50,992 "," 4,520 ", 9.7 , 0.8 ," 105,484 "," 7,249 ", 20.0 , 1.4 ," 60,388 "," 4,788 ", 11.4 , 0.9 ," 480,984 "," 11,135 ", 91.1 , 0.9 ," 165,872 "," 8,050 ", 31.4 , 1.5 ,
120,GA,Georgia,5," 587,385 "," 11,293 "," 9,840 "," 2,135 ", 1.7 , 0.4 ," 40,514 "," 4,331 ", 6.9 , 0.7 ," 143,570 "," 8,322 ", 24.4 , 1.3 ," 123,885 "," 7,816 ", 21.1 , 1.1 ," 33,289 "," 3,613 ", 5.7 , 0.6 ," 140,361 "," 7,575 ", 23.9 , 1.3 ," 95,926 "," 5,224 ", 16.3 , 0.9 ," 537,031 "," 11,944 ", 91.4 , 0.9 ," 236,287 "," 8,134 ", 40.2 , 1.4 ,
121,GA,Georgia,6," 496,468 "," 9,646 "," 3,838 "," 1,149 ", 0.8 , 0.2 ," 13,518 "," 2,098 ", 2.7 , 0.4 ," 62,535 "," 4,500 ", 12.6 , 0.9 ," 82,370 "," 4,975 ", 16.6 , 0.9 ," 26,140 "," 2,731 ", 5.3 , 0.6 ," 192,675 "," 7,928 ", 38.8 , 1.3 ," 115,392 "," 5,061 ", 23.2 , 1.0 ," 479,112 "," 9,397 ", 96.5 , 0.5 ," 308,067 "," 9,020 ", 62.1 , 1.3 ,
122,GA,Georgia,7," 486,845 "," 13,303 "," 11,997 "," 2,362 ", 2.5 , 0.5 ," 27,262 "," 3,307 ", 5.6 , 0.7 ," 98,384 "," 7,295 ", 20.2 , 1.2 ," 105,666 "," 6,385 ", 21.7 , 1.1 ," 40,771 "," 4,492 ", 8.4 , 0.9 ," 129,421 "," 6,882 ", 26.6 , 1.5 ," 73,344 "," 4,621 ", 15.1 , 1.0 ," 447,586 "," 12,586 ", 91.9 , 0.8 ," 202,765 "," 7,222 ", 41.6 , 1.6 ,
123,GA,Georgia,8," 527,338 "," 5,981 "," 16,772 "," 2,500 ", 3.2 , 0.5 ," 52,109 "," 4,640 ", 9.9 , 0.9 ," 180,436 "," 8,503 ", 34.2 , 1.5 ," 120,469 "," 6,040 ", 22.8 , 1.2 ," 50,294 "," 4,069 ", 9.5 , 0.8 ," 65,626 "," 5,239 ", 12.4 , 1.0 ," 41,632 "," 4,087 ", 7.9 , 0.8 ," 458,457 "," 7,378 ", 86.9 , 1.0 ," 107,258 "," 6,990 ", 20.3 , 1.3 ,
124,GA,Georgia,9," 556,967 "," 6,033 "," 20,915 "," 3,153 ", 3.8 , 0.5 ," 58,839 "," 4,756 ", 10.6 , 0.8 ," 176,199 "," 6,414 ", 31.6 , 1.1 ," 129,920 "," 5,878 ", 23.3 , 1.1 ," 42,938 "," 3,695 ", 7.7 , 0.7 ," 79,230 "," 4,277 ", 14.2 , 0.8 ," 48,926 "," 3,586 ", 8.8 , 0.6 ," 477,213 "," 6,171 ", 85.7 , 0.9 ," 128,156 "," 5,351 ", 23.0 , 1.0 ,
125,GA,Georgia,10," 565,803 "," 9,414 "," 16,236 "," 2,039 ", 2.9 , 0.4 ," 54,417 "," 3,813 ", 9.6 , 0.7 ," 178,589 "," 7,392 ", 31.6 , 1.2 ," 140,567 "," 7,073 ", 24.8 , 1.1 ," 38,035 "," 3,213 ", 6.7 , 0.5 ," 84,014 "," 4,965 ", 14.8 , 0.9 ," 53,945 "," 3,738 ", 9.5 , 0.6 ," 495,150 "," 9,482 ", 87.5 , 0.8 ," 137,959 "," 6,870 ", 24.4 , 1.2 ,
126,GA,Georgia,11," 559,687 "," 9,450 "," 12,223 "," 2,603 ", 2.2 , 0.5 ," 28,369 "," 4,115 ", 5.1 , 0.7 ," 126,635 "," 6,923 ", 22.6 , 1.2 ," 129,341 "," 7,789 ", 23.1 , 1.3 ," 40,561 "," 3,964 ", 7.2 , 0.7 ," 146,772 "," 6,511 ", 26.2 , 1.1 ," 75,786 "," 4,718 ", 13.5 , 0.8 ," 519,095 "," 9,720 ", 92.7 , 0.9 ," 222,558 "," 7,978 ", 39.8 , 1.3 ,
127,GA,Georgia,12," 540,482 "," 5,219 "," 18,105 "," 2,798 ", 3.3 , 0.5 ," 64,330 "," 4,919 ", 11.9 , 0.9 ," 182,860 "," 8,451 ", 33.8 , 1.5 ," 127,517 "," 6,330 ", 23.6 , 1.2 ," 44,276 "," 4,398 ", 8.2 , 0.8 ," 64,104 "," 4,478 ", 11.9 , 0.8 ," 39,290 "," 3,663 ", 7.3 , 0.7 ," 458,047 "," 7,349 ", 84.7 , 1.0 ," 103,394 "," 5,961 ", 19.1 , 1.1 ,
128,GA,Georgia,13," 523,476 "," 12,223 "," 14,231 "," 2,585 ", 2.7 , 0.5 ," 32,325 "," 3,731 ", 6.2 , 0.7 ," 155,629 "," 9,118 ", 29.7 , 1.6 ," 120,674 "," 7,454 ", 23.1 , 1.3 ," 52,827 "," 5,312 ", 10.1 , 1.0 ," 93,323 "," 7,252 ", 17.8 , 1.3 ," 54,467 "," 5,049 ", 10.4 , 0.9 ," 476,920 "," 12,334 ", 91.1 , 1.0 ," 147,790 "," 9,175 ", 28.2 , 1.6 ,
129,GA,Georgia,14," 516,434 "," 4,331 "," 20,663 "," 2,899 ", 4.0 , 0.6 ," 61,089 "," 5,186 ", 11.8 , 1.0 ," 185,972 "," 7,256 ", 36.0 , 1.4 ," 119,974 "," 6,251 ", 23.2 , 1.2 ," 40,531 "," 4,032 ", 7.8 , 0.8 ," 59,489 "," 4,958 ", 11.5 , 1.0 ," 28,716 "," 2,829 ", 5.6 , 0.5 ," 434,682 "," 6,771 ", 84.2 , 1.1 ," 88,205 "," 5,864 ", 17.1 , 1.1 ,
130,HI,Hawaii,1," 509,992 "," 8,672 "," 18,207 "," 2,250 ", 3.6 , 0.5 ," 19,349 "," 2,081 ", 3.8 , 0.4 ," 126,402 "," 5,637 ", 24.8 , 1.0 ," 109,925 "," 5,684 ", 21.6 , 1.0 ," 58,055 "," 4,098 ", 11.4 , 0.8 ," 118,497 "," 5,384 ", 23.2 , 0.9 ," 59,557 "," 3,107 ", 11.7 , 0.6 ," 472,436 "," 9,291 ", 92.6 , 0.6 ," 178,054 "," 6,489 ", 34.9 , 1.1 ,
131,HI,Hawaii,2," 506,514 "," 7,345 "," 10,572 "," 1,889 ", 2.1 , 0.4 ," 20,387 "," 2,541 ", 4.0 , 0.5 ," 157,455 "," 7,290 ", 31.1 , 1.3 ," 122,896 "," 6,261 ", 24.3 , 1.2 ," 53,696 "," 3,770 ", 10.6 , 0.7 ," 92,114 "," 4,617 ", 18.2 , 0.9 ," 49,394 "," 3,635 ", 9.8 , 0.7 ," 475,555 "," 7,291 ", 93.9 , 0.6 ," 141,508 "," 5,880 ", 27.9 , 1.1 ,
132,ID,Idaho,1," 661,724 "," 6,207 "," 12,452 "," 2,118 ", 1.9 , 0.3 ," 41,976 "," 3,677 ", 6.3 , 0.6 ," 205,140 "," 8,967 ", 31.0 , 1.3 ," 183,158 "," 8,125 ", 27.7 , 1.2 ," 59,297 "," 4,939 ", 9.0 , 0.8 ," 110,571 "," 6,731 ", 16.7 , 1.0 ," 49,130 "," 4,531 ", 7.4 , 0.7 ," 607,296 "," 7,086 ", 91.8 , 0.6 ," 159,701 "," 7,519 ", 24.1 , 1.1 ,
133,ID,Idaho,2," 590,690 "," 6,236 "," 12,020 "," 2,305 ", 2.0 , 0.4 ," 36,656 "," 3,502 ", 6.2 , 0.6 ," 159,307 "," 6,560 ", 27.0 , 1.1 ," 162,494 "," 5,742 ", 27.5 , 0.9 ," 59,596 "," 4,147 ", 10.1 , 0.7 ," 109,434 "," 4,704 ", 18.5 , 0.8 ," 51,183 "," 3,891 ", 8.7 , 0.6 ," 542,014 "," 6,866 ", 91.8 , 0.7 ," 160,617 "," 5,956 ", 27.2 , 0.9 ,
134,IL,Illinois,1," 524,114 "," 13,385 "," 13,382 "," 2,247 ", 2.6 , 0.4 ," 36,079 "," 4,650 ", 6.9 , 0.8 ," 141,235 "," 7,774 ", 26.9 , 1.3 ," 147,033 "," 6,985 ", 28.1 , 1.1 ," 42,550 "," 4,255 ", 8.1 , 0.8 ," 88,916 "," 4,964 ", 17.0 , 0.9 ," 54,919 "," 3,903 ", 10.5 , 0.8 ," 474,653 "," 12,259 ", 90.6 , 0.9 ," 143,835 "," 6,670 ", 27.4 , 1.2 ,
135,IL,Illinois,2," 497,132 "," 10,186 "," 15,982 "," 2,525 ", 3.2 , 0.5 ," 37,616 "," 2,866 ", 7.6 , 0.6 ," 154,265 "," 6,809 ", 31.0 , 1.2 ," 144,163 "," 8,070 ", 29.0 , 1.4 ," 38,427 "," 3,697 ", 7.7 , 0.7 ," 65,329 "," 5,217 ", 13.1 , 1.0 ," 41,350 "," 3,509 ", 8.3 , 0.8 ," 443,534 "," 10,363 ", 89.2 , 0.8 ," 106,679 "," 5,886 ", 21.5 , 1.2 ,
136,IL,Illinois,3," 479,004 "," 11,273 "," 20,411 "," 3,230 ", 4.3 , 0.7 ," 31,844 "," 2,818 ", 6.6 , 0.6 ," 138,119 "," 7,736 ", 28.8 , 1.3 ," 113,600 "," 6,240 ", 23.7 , 1.2 ," 36,894 "," 3,217 ", 7.7 , 0.6 ," 86,940 "," 4,567 ", 18.2 , 0.9 ," 51,196 "," 3,773 ", 10.7 , 0.8 ," 426,749 "," 10,971 ", 89.1 , 0.8 ," 138,136 "," 5,183 ", 28.8 , 1.0 ,
137,IL,Illinois,4," 410,804 "," 10,402 "," 31,711 "," 3,422 ", 7.7 , 0.8 ," 31,795 "," 3,386 ", 7.7 , 0.8 ," 116,237 "," 6,408 ", 28.3 , 1.3 ," 86,500 "," 5,107 ", 21.1 , 1.2 ," 26,307 "," 3,098 ", 6.4 , 0.7 ," 79,404 "," 4,521 ", 19.3 , 1.0 ," 38,850 "," 3,272 ", 9.5 , 0.8 ," 347,298 "," 9,713 ", 84.5 , 1.3 ," 118,254 "," 5,570 ", 28.8 , 1.2 ,
138,IL,Illinois,5," 545,831 "," 13,594 "," 13,658 "," 2,482 ", 2.5 , 0.4 ," 20,600 "," 2,628 ", 3.8 , 0.5 ," 88,159 "," 5,051 ", 16.2 , 0.9 ," 86,996 "," 5,725 ", 15.9 , 0.9 ," 30,022 "," 3,703 ", 5.5 , 0.7 ," 190,524 "," 6,916 ", 34.9 , 1.1 ," 115,872 "," 5,355 ", 21.2 , 0.9 ," 511,573 "," 12,581 ", 93.7 , 0.7 ," 306,396 "," 8,722 ", 56.1 , 1.3 ,
139,IL,Illinois,6," 523,796 "," 7,397 "," 5,724 "," 1,080 ", 1.1 , 0.2 ," 14,778 "," 2,032 ", 2.8 , 0.4 ," 92,688 "," 5,215 ", 17.7 , 0.9 ," 104,221 "," 5,072 ", 19.9 , 0.9 ," 42,065 "," 3,557 ", 8.0 , 0.7 ," 163,509 "," 4,955 ", 31.2 , 0.9 ," 100,811 "," 4,663 ", 19.2 , 0.9 ," 503,294 "," 7,387 ", 96.1 , 0.5 ," 264,320 "," 5,929 ", 50.5 , 1.2 ,
140,IL,Illinois,7," 522,767 "," 13,446 "," 19,914 "," 3,280 ", 3.8 , 0.6 ," 44,571 "," 4,958 ", 8.5 , 0.9 ," 126,591 "," 6,488 ", 24.2 , 1.1 ," 97,863 "," 6,379 ", 18.7 , 1.1 ," 29,955 "," 2,993 ", 5.7 , 0.5 ," 114,874 "," 5,576 ", 22.0 , 1.0 ," 88,999 "," 5,831 ", 17.0 , 1.0 ," 458,282 "," 12,713 ", 87.7 , 1.1 ," 203,873 "," 7,772 ", 39.0 , 1.2 ,
141,IL,Illinois,8," 442,009 "," 9,089 "," 14,574 "," 2,157 ", 3.3 , 0.5 ," 25,703 "," 2,764 ", 5.8 , 0.6 ," 112,359 "," 5,277 ", 25.4 , 1.1 ," 104,972 "," 5,727 ", 23.7 , 1.2 ," 36,554 "," 3,297 ", 8.3 , 0.7 ," 101,932 "," 5,431 ", 23.1 , 1.1 ," 45,915 "," 3,160 ", 10.4 , 0.7 ," 401,732 "," 9,219 ", 90.9 , 0.8 ," 147,847 "," 6,809 ", 33.4 , 1.4 ,
142,IL,Illinois,9," 498,242 "," 10,167 "," 12,446 "," 2,164 ", 2.5 , 0.4 ," 18,151 "," 2,284 ", 3.6 , 0.5 ," 75,642 "," 4,438 ", 15.2 , 0.8 ," 89,548 "," 5,245 ", 18.0 , 0.9 ," 25,709 "," 2,228 ", 5.2 , 0.5 ," 158,190 "," 6,599 ", 31.7 , 1.1 ," 118,556 "," 4,498 ", 23.8 , 0.9 ," 467,645 "," 10,180 ", 93.9 , 0.6 ," 276,746 "," 8,081 ", 55.5 , 1.2 ,
143,IL,Illinois,10," 468,255 "," 7,926 "," 11,965 "," 1,726 ", 2.6 , 0.4 ," 23,059 "," 2,531 ", 4.9 , 0.5 ," 103,944 "," 5,443 ", 22.2 , 1.1 ," 94,552 "," 4,538 ", 20.2 , 0.9 ," 28,798 "," 2,727 ", 6.2 , 0.6 ," 120,239 "," 5,506 ", 25.7 , 1.0 ," 85,698 "," 4,206 ", 18.3 , 0.9 ," 433,231 "," 7,909 ", 92.5 , 0.7 ," 205,937 "," 6,431 ", 44.0 , 1.2 ,
144,IL,Illinois,11," 472,244 "," 8,696 "," 17,113 "," 2,608 ", 3.6 , 0.6 ," 25,704 "," 2,773 ", 5.4 , 0.6 ," 122,116 "," 7,231 ", 25.9 , 1.3 ," 112,340 "," 5,630 ", 23.8 , 1.1 ," 38,441 "," 3,241 ", 8.1 , 0.7 ," 102,807 "," 5,138 ", 21.8 , 1.1 ," 53,723 "," 3,946 ", 11.4 , 0.8 ," 429,427 "," 8,768 ", 90.9 , 0.8 ," 156,530 "," 6,025 ", 33.1 , 1.2 ,
145,IL,Illinois,12," 528,398 "," 3,128 "," 13,675 "," 2,270 ", 2.6 , 0.4 ," 43,253 "," 3,183 ", 8.2 , 0.6 ," 158,926 "," 5,377 ", 30.1 , 1.0 ," 138,129 "," 5,640 ", 26.1 , 1.1 ," 58,073 "," 4,031 ", 11.0 , 0.8 ," 70,358 "," 4,237 ", 13.3 , 0.8 ," 45,984 "," 3,110 ", 8.7 , 0.6 ," 471,470 "," 4,487 ", 89.2 , 0.8 ," 116,342 "," 4,980 ", 22.0 , 0.9 ,
